title,url,writer
"조선·해양 강국서 해양 사이버보안 선도까지, 고려대 ‘해양사이버보안 워크샵’ 개최",http://boannews.com/media/view.asp?idx=139749&page=4&kind=2,조재호 기자 | 2025년 10월 14일 17:45
"제네텍, 글로벌 출입통제 소프트웨어 시장 점유율 지속 확대",http://boannews.com/media/view.asp?idx=139748&page=4&kind=3,강초희 기자 | 2025년 10월 14일 16:13
"라쿠텐 마리타임, RINA 사이버보안 인증 획득...유럽 시장 신뢰 강화",http://boannews.com/media/view.asp?idx=139747&page=4&kind=3,조재호 기자 | 2025년 10월 14일 15:48
[AI와 보안] 악성 문서 250개만 있어도 초거대 AI 모델 해킹 통로 뚫린다,http://boannews.com/media/view.asp?idx=139746&page=4&kind=4,한세희 기자 | 2025년 10월 14일 14:47
"태니엄, MS 센티널 파트너 에코시스템 합류",http://boannews.com/media/view.asp?idx=139745&page=4&kind=3,조재호 기자 | 2025년 10월 14일 14:28
"경상남도 안전체험관-통영교육지원청, 체험 통한 위기대응 능력 키운다",http://boannews.com/media/view.asp?idx=139744&page=4&kind=2,강초희 기자 | 2025년 10월 14일 14:02
"슈프리마, 에이엔에스 아드리아 어워즈 출입통제 부문 대상 수상",http://boannews.com/media/view.asp?idx=139743&page=4&kind=3,엄호식 기자 | 2025년 10월 14일 13:41
"델 테크놀로지스, 책상 위의 AI 시스템 ‘델 프로 맥스 위드 GB10’ 출시",http://boannews.com/media/view.asp?idx=139740&page=4&kind=3,강초희 기자 | 2025년 10월 14일 13:41
"소방청,기후위기 등 미래 재난대응 역량 강화 위한 AI 전담조직 가동",http://boannews.com/media/view.asp?idx=139742&page=4&kind=2,강초희 기자 | 2025년 10월 14일 13:38
"조달청, 신속한 규제합리화 추진으로 기업과 국민 체감도 높인다",http://boannews.com/media/view.asp?idx=139741&page=4&kind=2,엄호식 기자 | 2025년 10월 14일 13:34
"[IP신간] 인공지능 시대, 지식재산권의 미래를 묻다...‘AI법과 아이피 이슈’",http://boannews.com/media/view.asp?idx=139739&page=4&kind=1,IP전략연구소 | 2025년 10월 14일 11:55
송경희 개인정보위원장 “개인정보보호법 개정 시급해”,http://boannews.com/media/view.asp?idx=139738&page=4&kind=2,조재호 기자 | 2025년 10월 14일 11:54
관세청 보안장비 5대 중 1대 ‘노후화’,http://boannews.com/media/view.asp?idx=139734&page=4&kind=2,조재호 기자 | 2025년 10월 14일 11:38
"너 내 (월급 도둑) 동료가 돼라…MS, 월급 통장 노리는 ‘급여 해적’ 포착",http://boannews.com/media/view.asp?idx=139736&page=4&kind=1,한세희 기자 | 2025년 10월 14일 11:23
[IP국감] K팝 인기 속 ‘짝퉁’ 굿즈 속출...올해만 공연·축제서 3만점 압수,http://boannews.com/media/view.asp?idx=139737&page=4&kind=1,IP전략연구소 | 2025년 10월 14일 11:20
"[IP포토] 지역 특산품, ‘지리적 표시’ 이렇게!",http://boannews.com/media/view.asp?idx=139735&page=4&kind=1,IP전략연구소 | 2025년 10월 14일 11:08
"특허법학회, ‘공개세미나’ 개최...25일·변협회관",http://boannews.com/media/view.asp?idx=139733&page=4&kind=1,IP전략연구소 | 2025년 10월 14일 10:43
"넷스카우트, NIST 표준 기반 제로트러스트 인텔리전스 플랫폼 발표",http://boannews.com/media/view.asp?idx=139732&page=4&kind=3,강현주 기자 | 2025년 10월 14일 10:39
"금융보안원, ‘클라우드 보안’ 가이드라인 제시",http://boannews.com/media/view.asp?idx=139731&page=4&kind=2,조재호 기자 | 2025년 10월 14일 10:31
동영상 생성 AI 소라 2는 “전기와 물 먹는 하마”… AI 환경 비용 논란 재점화,http://boannews.com/media/view.asp?idx=139722&page=5&kind=2,한세희 기자 | 2025년 10월 14일 10:12
"카스퍼스키, 차세대 방화벽 ‘네트워크 보안 데이터 피드’ 출시",http://boannews.com/media/view.asp?idx=139730&page=5&kind=3,강현주 기자 | 2025년 10월 14일 09:53
"티피링크, 글로벌 인재 3인 핵심 임원으로 영입...미국 본사 B2B 조직 확대",http://boannews.com/media/view.asp?idx=139729&page=5&kind=3,강초희 기자 | 2025년 10월 14일 09:37
"레드햇 해킹, 국내 피해 걱정 덜한 이유는?...“공급망 경각심은 높여야”",http://boannews.com/media/view.asp?idx=139728&page=5&kind=1,강현주 기자 | 2025년 10월 13일 18:35
국정자원 복구율 37.2% “7전산실 연계 시스템은 즉시 복구 어려워”,http://boannews.com/media/view.asp?idx=139727&page=5&kind=1,조재호 기자 | 2025년 10월 13일 16:56
"“서버 폐기 은폐 고의성 있다”...과기정통부, KT 경찰 수사 의뢰",http://boannews.com/media/view.asp?idx=139726&page=5&kind=2,한세희 기자 | 2025년 10월 13일 16:50
와이파이 신호가 당신을 감시한다...주변 전파로 개인 식별 이미지 구성,http://boannews.com/media/view.asp?idx=139725&page=5&kind=4,한세희 기자 | 2025년 10월 13일 15:56
"국회 메일 서버 거래 정황 포착, 입법부도 안전지대 아냐...",http://boannews.com/media/view.asp?idx=139724&page=5&kind=2,조재호 기자 | 2025년 10월 13일 15:26
"“자진신고 시 과징금 감경 검토”...개인정보위, 개인정보 유출 제재 개선 나서",http://boannews.com/media/view.asp?idx=139723&page=5&kind=2,강현주 기자 | 2025년 10월 13일 15:02
"KISA, ‘2025년 암호모듈검증 전문교육’ 심화 과정 교육생 모집",http://boannews.com/media/view.asp?idx=139721&page=5&kind=2,강현주 기자 | 2025년 10월 13일 14:30
"[한국정보공학기술사 보안을 論하다-25] 보안 위험 대응, 소중한 것 먼저 하기",http://boannews.com/media/view.asp?idx=139720&page=5&kind=1,권준  기자 | 2025년 10월 13일 14:15
"과기정통부 산하 기관, 절반 이상 ‘화재·전산장애에 무방비’",http://boannews.com/media/view.asp?idx=139719&page=5&kind=2,조재호 기자 | 2025년 10월 13일 14:13
송파 ICT 보안클러스터 2단계 사업 예타 통과...KISA 등 8개 보안기관 입주,http://boannews.com/media/view.asp?idx=139718&page=5&kind=2,조재호 기자 | 2025년 10월 13일 13:50
‘악몽의 재부팅’ 종식... 윈도우 11 ‘업데이트 후 종료’ 버그 4년 만에 해결,http://boannews.com/media/view.asp?idx=139717&page=5&kind=3,한세희 기자 | 2025년 10월 13일 11:50
"전북자치도, 도민 자동 가입 ‘도민안전보험’으로 지역 안전 보장 책임져",http://boannews.com/media/view.asp?idx=139714&page=5&kind=2,강초희 기자 | 2025년 10월 13일 11:27
"기원테크, AI 기반 통합 보안 플랫폼 ‘이지플랫폼’으로 랜섬웨어 선제적 방어 나서",http://boannews.com/media/view.asp?idx=139716&page=5&kind=3,조재호 기자 | 2025년 10월 13일 11:26
"경찰, 캄보디아 한국인 대상 납치·감금 등 범죄에 총력 대응 예정",http://boannews.com/media/view.asp?idx=139713&page=5&kind=2,강초희 기자 | 2025년 10월 13일 11:23
"[국방보안 칼럼] SDW 시대, RMF 아닌 SWFT 검증 체계 도입 시급하다",http://boannews.com/media/view.asp?idx=139715&page=5&kind=2,권준  기자 | 2025년 10월 13일 11:15
"사이버아크, 머신 ID 보안 역량 강화...지능형 검색 및 컨텍스트 기능 적용",http://boannews.com/media/view.asp?idx=139712&page=5&kind=3,강현주 기자 | 2025년 10월 13일 11:01
"2025 부산 사이버보안 컨퍼런스, 오는 15일부터 2일간 열려",http://boannews.com/media/view.asp?idx=139710&page=5&kind=2,조재호 기자 | 2025년 10월 13일 10:49
"지인테크, 영상감시장치 ‘녹색기술제품’으로 나라장터 조달우수제품 등록 완료",http://boannews.com/media/view.asp?idx=139711&page=6&kind=3,엄호식 기자 | 2025년 10월 13일 10:41
"조달청, 나라장터 등 18개 조달정보시스템 정상화",http://boannews.com/media/view.asp?idx=139707&page=6&kind=2,강초희 기자 | 2025년 10월 13일 10:40
"트렌드마이크로 통합 보안 플랫폼, IDC 마켓스케이프 ‘전세계 XDR 리더’ 선정",http://boannews.com/media/view.asp?idx=139709&page=6&kind=1,강현주 기자 | 2025년 10월 13일 10:07
[인사] 한국인터넷진흥원(KISA),http://boannews.com/media/view.asp?idx=139706&page=6&kind=2,조재호 기자 | 2025년 10월 13일 09:42
"버카다, 김기훈 신임 한국 지사장 선임하며 한국 시장 입지 강화 밝혀",http://boannews.com/media/view.asp?idx=139705&page=6&kind=3,강초희 기자 | 2025년 10월 13일 09:12
"‘K-특허’ 세계로...한국인 출원 건수, 올 상반기 국내·외 모두 UP!",http://boannews.com/media/view.asp?idx=139704&page=6&kind=1,IP전략연구소 | 2025년 10월 12일 18:04
소닉월 SSL VPN 대규모 털렸다! 비밀번호 훔쳐 100개 계정 무단 침입 발생,http://boannews.com/media/view.asp?idx=139703&page=6&kind=1,권준  기자 | 2025년 10월 12일 14:08
"[기획특집] SKT·KT·LGU+, 스마트홈 확산과 함께하는 보안 전략 드라이브",http://boannews.com/media/view.asp?idx=139555&page=6&kind=6,강초희 기자 | 2025년 10월 12일 12:39
"국내 최대 AI 콘퍼런스 ‘SK AI Summit 2025’, 11월 3~4일 개최",http://boannews.com/media/view.asp?idx=139702&page=6&kind=3,강현주 기자 | 2025년 10월 12일 12:12
"카이스트 류석영 교수 연구팀, 구글 V8 연구지원금 선정 쾌거",http://boannews.com/media/view.asp?idx=139701&page=6&kind=5,조재호 기자 | 2025년 10월 11일 19:57
"“삼성, 6000억원 배상하라”...美법원, 특허침해 평결",http://boannews.com/media/view.asp?idx=139700&page=6&kind=1,IP전략연구소 | 2025년 10월 11일 14:12
"美 CISA, “협업 플랫폼 짐브라 XSS 제로데이 취약점” 경고...이메일 열기만 해도 해킹",http://boannews.com/media/view.asp?idx=139695&page=6&kind=4,한세희 기자 | 2025년 10월 11일 10:42
"세일즈포스, “몸값 지불 없다”...데이터 유출 협박 거부",http://boannews.com/media/view.asp?idx=139691&page=6&kind=1,한세희 기자 | 2025년 10월 11일 10:33
[카드뉴스] 소셜네트워크 속 생성형 AI를 악용한 악성코드 ‘그로킹’,http://boannews.com/media/view.asp?idx=139697&page=6&kind=1,조재호 기자 | 2025년 10월 11일 10:20
"[IP국감] 14,000,000,000,000원...상표 심사 지연, 연간 손실액",http://boannews.com/media/view.asp?idx=139699&page=6&kind=1,IP전략연구소 | 2025년 10월 11일 00:32
